,6AMay,3CJuly,6DMay,8CMay,8CJuly,6CMay,6AJuly,6DJuly,3AJuly,8BJuly,8BMay,3CMay,3BJuly,8AJuly,8AMay,3AMay,6CJuly,3BMay,0CJuly,0CMay,0AJuly,1DJuly,0BMay,1GMay,0BJuly,0AMay,1FJuly,1FMay,1DMay,1GJuly,taxonomy
denovo1,240,88,109,216,121,161,205,69,79,33,63,139,58,9,17,85,77,125,28,36,14,2,17,5,17,16,2,1,6,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,,
denovo19,59,32,110,55,81,86,68,34,26,55,142,20,15,102,69,36,24,46,102,138,59,7,65,25,23,70,17,11,18,11,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
denovo2,49,3,74,181,211,103,51,24,1,151,235,5,6,111,117,3,30,6,0,0,0,2,0,1,0,0,0,5,0,4,Bacteria,Chloroflexi,Anaerolineae,DRC31,,,
denovo14,100,3,142,178,147,96,33,17,4,38,118,12,4,89,115,7,17,14,24,19,35,16,2,4,9,8,1,0,5,0,Bacteria,Chloroflexi,Anaerolineae,envOPS12,,,
denovo12,60,8,54,153,193,42,79,51,2,75,204,0,1,84,124,11,41,3,0,0,0,0,0,1,0,0,0,2,0,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
denovo5,13,0,28,10,29,38,5,3,1,4,13,0,1,0,12,1,1,0,126,150,95,11,142,49,59,136,15,113,16,50,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
denovo17,95,9,53,40,112,52,54,6,7,60,172,21,10,47,72,46,17,41,27,29,18,14,6,12,10,10,19,3,23,15,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
denovo4,10,2,73,11,22,24,17,7,0,26,53,1,0,29,122,2,8,3,16,7,3,15,6,188,2,4,49,139,89,132,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
denovo84,4,4,4,6,6,1,0,0,3,1,2,25,10,3,22,14,2,38,176,205,139,6,74,6,96,93,6,5,71,11,Bacteria,Cyanobacteria,Chloroplast,Stramenopiles,,,
denovo3,56,7,61,45,61,59,14,18,17,36,193,43,21,102,142,21,17,47,12,15,11,1,5,5,1,4,4,2,5,1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
denovo119,2,0,6,0,6,6,5,1,0,0,4,6,2,8,11,1,0,3,148,126,163,11,51,22,112,75,16,27,28,28,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,
denovo58,33,31,48,102,106,62,27,35,8,34,73,48,15,65,46,26,17,40,1,1,3,7,1,12,4,0,1,7,1,11,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
denovo69,29,0,31,4,19,26,35,17,0,4,6,0,0,8,12,1,7,0,63,85,52,13,20,55,30,35,16,197,14,79,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
denovo31,11,42,5,116,83,17,43,24,34,44,113,17,19,28,48,40,20,68,0,0,0,3,0,0,0,0,0,2,10,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
denovo52,68,1,32,23,66,70,17,1,1,15,32,0,0,14,60,1,10,5,76,72,84,3,25,2,27,60,3,2,3,5,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
denovo128,67,15,57,21,30,44,32,14,19,15,64,23,21,44,53,10,24,34,27,36,12,12,19,10,1,12,3,7,19,5,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
denovo44,4,1,6,4,0,11,2,0,1,2,22,7,1,4,44,1,0,9,8,30,9,16,28,191,5,34,23,157,108,10,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gillisia,
denovo132,32,91,13,51,37,15,79,14,52,19,54,33,14,21,11,85,15,84,0,0,0,1,0,2,0,0,0,1,1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
denovo56,15,70,20,30,32,33,30,19,43,13,24,93,52,12,16,66,12,129,1,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,,,
denovo9,117,14,65,15,16,99,22,18,5,26,86,22,30,24,33,12,31,32,2,2,3,2,1,1,1,0,1,0,1,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,,
denovo26,50,16,70,57,48,63,11,23,3,17,51,23,7,34,51,8,30,27,3,4,3,8,2,10,1,3,8,8,14,25,Bacteria,Chloroflexi,Anaerolineae,DRC31,,,
denovo30,28,13,27,58,80,49,48,29,4,44,81,8,4,25,46,20,14,15,8,8,16,1,1,5,5,7,1,3,4,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
denovo515,36,27,18,51,46,46,57,31,27,6,10,111,22,3,5,23,12,71,2,4,2,3,3,1,1,0,0,2,11,0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,
denovo7,44,3,71,64,73,89,13,10,3,42,66,7,0,47,65,1,15,4,0,1,0,2,0,0,0,0,3,2,0,3,Bacteria,Chloroflexi,Anaerolineae,DRC31,,,
denovo25,17,12,9,15,7,15,19,3,16,2,10,36,28,17,28,36,6,54,65,57,30,9,14,9,20,27,10,7,23,10,Bacteria,Proteobacteria,Gammaproteobacteria,Marinicellales,Marinicellaceae,,
denovo72,2,0,3,5,16,5,6,2,1,5,11,1,0,16,19,0,3,2,5,2,5,23,0,88,2,1,39,56,79,204,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,
denovo13,1,0,49,3,19,11,10,0,0,1,6,0,0,5,5,0,0,0,11,7,21,49,2,98,3,3,47,80,87,59,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
denovo34,20,0,128,3,18,26,21,3,0,8,34,0,0,4,27,0,8,0,2,5,3,18,6,59,0,13,12,39,15,61,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
